animal_id,cell_id,group,early_peak_dZ,late_peak_dZ,sort_score
10492,C159,EarlyOnly,14.181249618530272,2.0285677909851074,14.181249618530272
animal1,C052,EarlyOnly,11.927215576171877,1.2532521486282349,11.927215576171877
animal6,C032,EarlyOnly,11.841894149780272,7.034749984741211,11.841894149780272
animal5,C069,EarlyOnly,11.288434982299805,0.6198501586914062,11.288434982299805
10490,C106,EarlyOnly,10.945001602172852,0.2190823405981063,10.945001602172852
animal8,C039,EarlyOnly,10.943010330200195,0.8153864145278931,10.943010330200195
10491,C046,EarlyOnly,10.161681175231934,2.6318273544311523,10.161681175231934
10492,C152,EarlyOnly,10.159149169921877,2.663471221923828,10.159149169921877
10492,C090,EarlyOnly,9.60008430480957,1.2735580205917358,9.60008430480957
10492,C016,EarlyOnly,9.160893440246582,0.8404006958007812,9.160893440246582
10491,C018,EarlyOnly,8.995322227478027,1.534881353378296,8.995322227478027
10491,C039,EarlyOnly,8.98951244354248,1.7188256978988647,8.98951244354248
animal6,C017,EarlyOnly,8.967159271240234,1.8946759700775144,8.967159271240234
animal5,C015,EarlyOnly,8.671177864074707,0.243981659412384,8.671177864074707
10491,C066,EarlyOnly,8.504141807556152,0.8432543277740479,8.504141807556152
10489,C003,EarlyOnly,8.06582260131836,1.9323546886444092,8.06582260131836
10492,C073,EarlyOnly,7.886532783508301,1.041091799736023,7.886532783508301
animal1,C054,EarlyOnly,7.592042922973633,0.5171197652816772,7.592042922973633
10488,C005,EarlyOnly,7.582204818725586,2.1617112159729004,7.582204818725586
10489,C102,EarlyOnly,7.379613876342773,0.5049797296524048,7.379613876342773
animal8,C037,EarlyOnly,7.348472595214844,2.4256482124328613,7.348472595214844
11794,C069,EarlyOnly,7.158714771270752,1.8205302953720093,7.158714771270752
10492,C193,EarlyOnly,7.057995796203613,1.9095032215118408,7.057995796203613
10488,C071,EarlyOnly,6.953391075134277,6.24674654006958,6.953391075134277
11799,C085,EarlyOnly,6.916280746459961,3.957213878631592,6.916280746459961
10492,C060,EarlyOnly,6.8905534744262695,5.320229530334473,6.8905534744262695
11799,C402,EarlyOnly,6.7786760330200195,2.623025417327881,6.7786760330200195
animal6,C001,EarlyOnly,6.67971658706665,0.7858579158782959,6.67971658706665
animal5,C052,EarlyOnly,6.647069454193115,0.6665478944778442,6.647069454193115
animal6,C022,EarlyOnly,6.6113481521606445,0.6553366184234619,6.6113481521606445
11794,C048,EarlyOnly,6.5339131355285645,1.4234235286712646,6.5339131355285645
animal10,C112,EarlyOnly,6.46888542175293,0.8498525619506836,6.46888542175293
10488,C059,EarlyOnly,6.327615737915039,0.1046908497810363,6.327615737915039
animal6,C077,EarlyOnly,6.286921501159668,5.365250587463379,6.286921501159668
10491,C062,EarlyOnly,6.278948783874512,1.161414384841919,6.278948783874512
10482,C026,EarlyOnly,6.251397132873535,1.8278956413269043,6.251397132873535
11799,C047,EarlyOnly,6.190875053405762,0.3010029792785644,6.190875053405762
animal2,C137,EarlyOnly,6.187290191650391,1.3902866840362549,6.187290191650391
animal2,C055,EarlyOnly,6.186633586883545,0.0876651331782341,6.186633586883545
animal5,C057,EarlyOnly,6.045259475708008,0.1777436435222625,6.045259475708008
animal3,C012,EarlyOnly,6.031617164611816,0.8203870058059692,6.031617164611816
10492,C149,EarlyOnly,6.028290271759033,2.599029779434204,6.028290271759033
11799,C106,EarlyOnly,5.9886345863342285,7.465075969696045,5.9886345863342285
animal2,C015,EarlyOnly,5.815968036651611,1.7251136302947998,5.815968036651611
animal2,C027,EarlyOnly,5.79853630065918,2.5675480365753174,5.79853630065918
11794,C013,EarlyOnly,5.772624492645264,1.4502439498901367,5.772624492645264
10488,C006,EarlyOnly,5.75375509262085,0.356916606426239,5.75375509262085
animal2,C197,EarlyOnly,5.749024868011475,0.7779779434204102,5.749024868011475
animal2,C140,EarlyOnly,5.743439674377441,1.4200427532196045,5.743439674377441
animal8,C043,EarlyOnly,5.738616466522217,0.683558464050293,5.738616466522217
animal2,C064,EarlyOnly,5.724740028381348,1.2427902221679688,5.724740028381348
10488,C011,EarlyOnly,5.667128086090088,2.817014217376709,5.667128086090088
10490,C104,EarlyOnly,5.654482841491699,1.0657875537872314,5.654482841491699
animal2,C201,EarlyOnly,5.595300674438477,0.3612986803054809,5.595300674438477
10491,C065,EarlyOnly,5.586475372314453,0.2965611815452575,5.586475372314453
animal1,C001,EarlyOnly,5.560190677642822,0.5116639137268066,5.560190677642822
10481,C017,EarlyOnly,5.559593677520752,2.3121047019958496,5.559593677520752
10489,C124,EarlyOnly,5.551113128662109,1.318711757659912,5.551113128662109
animal2,C024,EarlyOnly,5.526005744934082,0.9541915655136108,5.526005744934082
animal2,C126,EarlyOnly,5.501302719116211,0.3517873585224151,5.501302719116211
11799,C348,EarlyOnly,5.44370174407959,0.9493697881698608,5.44370174407959
10482,C018,EarlyOnly,5.367671489715576,2.592517137527466,5.367671489715576
10491,C051,EarlyOnly,5.335779666900635,3.695016384124756,5.335779666900635
animal1,C022,EarlyOnly,5.2762675285339355,0.6446532607078552,5.2762675285339355
10491,C014,EarlyOnly,5.2729997634887695,1.5995705127716064,5.2729997634887695
animal3,C015,EarlyOnly,5.262685775756836,0.5334942936897278,5.262685775756836
animal6,C031,EarlyOnly,5.2518157958984375,1.1444857120513916,5.2518157958984375
animal5,C018,EarlyOnly,5.196305751800537,0.6419681310653687,5.196305751800537
10492,C164,EarlyOnly,5.1724677085876465,3.2727439403533936,5.1724677085876465
10481,C007,EarlyOnly,5.162178993225098,0.6766353249549866,5.162178993225098
animal1,C015,EarlyOnly,5.116026878356934,3.2598509788513184,5.116026878356934
11799,C112,EarlyOnly,5.088859558105469,0.7852529287338257,5.088859558105469
10490,C280,EarlyOnly,5.032031536102295,1.2231608629226685,5.032031536102295
11799,C018,EarlyOnly,5.013909816741943,1.081479787826538,5.013909816741943
animal10,C105,EarlyOnly,5.012425899505615,6.8288068771362305,5.012425899505615
animal1,C020,EarlyOnly,4.980867385864258,1.5795438289642334,4.980867385864258
animal8,C028,EarlyOnly,4.961713790893555,2.3853251934051514,4.961713790893555
animal5,C075,EarlyOnly,4.941473484039307,0.4771287441253662,4.941473484039307
10490,C035,EarlyOnly,4.92498254776001,1.2050654888153076,4.92498254776001
10481,C011,EarlyOnly,4.9210686683654785,1.0743916034698486,4.9210686683654785
animal1,C021,EarlyOnly,4.878207683563232,1.4055291414260864,4.878207683563232
10481,C005,EarlyOnly,4.877520561218262,1.2963722944259644,4.877520561218262
11799,C290,EarlyOnly,4.791504383087158,0.7550662755966187,4.791504383087158
11794,C060,EarlyOnly,4.77098274230957,1.3241243362426758,4.77098274230957
11794,C040,EarlyOnly,4.748048782348633,2.054363965988159,4.748048782348633
11799,C369,EarlyOnly,4.735861301422119,0.0779455602169036,4.735861301422119
animal8,C077,EarlyOnly,4.724370002746582,1.6068623065948486,4.724370002746582
10488,C098,EarlyOnly,4.706056118011475,0.974772572517395,4.706056118011475
animal3,C011,EarlyOnly,4.680239677429199,0.7425345778465271,4.680239677429199
10491,C047,EarlyOnly,4.6710615158081055,3.084157943725586,4.6710615158081055
10490,C243,EarlyOnly,4.661223411560059,0.1976479887962341,4.661223411560059
10489,C175,EarlyOnly,4.622224807739258,0.6036178469657898,4.622224807739258
10490,C094,EarlyOnly,4.571136951446533,0.1448459029197693,4.571136951446533
animal10,C101,EarlyOnly,4.553096771240234,1.606142520904541,4.553096771240234
10492,C123,EarlyOnly,4.530853748321533,1.7349553108215332,4.530853748321533
10492,C019,EarlyOnly,4.4931793212890625,1.6874014139175415,4.4931793212890625
10488,C119,EarlyOnly,4.489688873291016,2.1014912128448486,4.489688873291016
animal8,C038,EarlyOnly,4.478091716766357,2.722402572631836,4.478091716766357
11799,C205,EarlyOnly,4.478054523468018,1.4245390892028809,4.478054523468018
10490,C177,EarlyOnly,4.461052417755127,0.9756061434745787,4.461052417755127
10492,C005,EarlyOnly,4.437761306762695,1.0806114673614502,4.437761306762695
10492,C116,EarlyOnly,4.3864617347717285,1.1700632572174072,4.3864617347717285
10489,C000,EarlyOnly,4.365813732147217,1.1573532819747925,4.365813732147217
10488,C053,EarlyOnly,4.346550941467285,2.179748058319092,4.346550941467285
10482,C005,EarlyOnly,4.3340163230896,2.1608681678771973,4.3340163230896
11799,C019,EarlyOnly,4.320461273193359,1.292943835258484,4.320461273193359
10488,C128,EarlyOnly,4.314314842224121,1.1504956483840942,4.314314842224121
10488,C139,EarlyOnly,4.306543350219727,2.6715006828308105,4.306543350219727
10482,C041,EarlyOnly,4.287352561950684,1.036918044090271,4.287352561950684
11794,C059,EarlyOnly,4.287027835845947,0.6698266267776489,4.287027835845947
animal6,C008,EarlyOnly,4.272951126098633,1.4313373565673828,4.272951126098633
10488,C003,EarlyOnly,4.269968032836914,1.1321094036102295,4.269968032836914
11799,C075,EarlyOnly,4.264026641845703,1.9489842653274536,4.264026641845703
11799,C120,EarlyOnly,4.217615604400635,0.7405519485473633,4.217615604400635
animal2,C084,EarlyOnly,4.199100971221924,6.079768657684326,4.199100971221924
11794,C093,EarlyOnly,4.1809163093566895,1.1099934577941897,4.1809163093566895
10490,C117,EarlyOnly,4.163000106811523,1.221476912498474,4.163000106811523
11794,C148,EarlyOnly,4.159942626953125,0.3588765859603882,4.159942626953125
10488,C070,EarlyOnly,4.154732704162598,0.8866146802902222,4.154732704162598
10488,C091,EarlyOnly,4.137613773345947,0.3647245466709137,4.137613773345947
10492,C145,EarlyOnly,4.097633361816406,1.1902031898498535,4.097633361816406
10490,C179,EarlyOnly,4.091607570648193,0.4012661874294281,4.091607570648193
10488,C086,EarlyOnly,4.072038650512695,2.1180176734924316,4.072038650512695
10488,C019,EarlyOnly,4.058297157287598,1.680471658706665,4.058297157287598
animal1,C011,EarlyOnly,4.008162021636963,0.5927532911300659,4.008162021636963
11794,C152,EarlyOnly,3.980412006378174,1.2022813558578491,3.980412006378174
11794,C185,EarlyOnly,3.972594976425171,0.196928858757019,3.972594976425171
animal2,C041,EarlyOnly,3.967863559722901,1.3884952068328855,3.967863559722901
animal6,C024,EarlyOnly,3.9575295448303223,1.6479098796844482,3.9575295448303223
11799,C069,EarlyOnly,3.9003963470458984,2.772080898284912,3.9003963470458984
10490,C022,EarlyOnly,3.8872456550598145,0.1617205142974853,3.8872456550598145
animal2,C138,EarlyOnly,3.875053882598877,0.6072423458099365,3.875053882598877
animal2,C033,EarlyOnly,3.848759174346924,0.987836480140686,3.848759174346924
11794,C017,EarlyOnly,3.8436877727508545,0.1507712751626968,3.8436877727508545
11794,C131,EarlyOnly,3.83503532409668,1.2056701183319092,3.83503532409668
11799,C109,EarlyOnly,3.832263231277466,0.6990180015563965,3.832263231277466
10482,C035,EarlyOnly,3.821754932403565,2.2233102321624756,3.821754932403565
10490,C001,EarlyOnly,3.801389694213867,12.23603343963623,3.801389694213867
animal5,C001,EarlyOnly,3.7906646728515625,0.8580389022827148,3.7906646728515625
10488,C110,EarlyOnly,3.787508487701416,1.2455962896347046,3.787508487701416
animal9,C001,EarlyOnly,3.777926445007324,1.5063451528549194,3.777926445007324
11799,C305,EarlyOnly,3.7393910884857178,1.1412067413330078,3.7393910884857178
11794,C035,EarlyOnly,3.7317214012146,2.028930902481079,3.7317214012146
10492,C168,EarlyOnly,3.713721513748169,2.177079439163208,3.713721513748169
11794,C082,EarlyOnly,3.699740886688232,2.134392261505127,3.699740886688232
11799,C293,EarlyOnly,3.699326038360596,0.7512356042861938,3.699326038360596
animal4,C020,EarlyOnly,3.6928555965423584,1.147544503211975,3.6928555965423584
animal2,C123,EarlyOnly,3.668368339538574,0.7287896275520325,3.668368339538574
animal6,C069,EarlyOnly,3.661463260650635,0.2760583460330963,3.661463260650635
11794,C113,EarlyOnly,3.654096126556397,1.6967132091522217,3.654096126556397
10490,C111,EarlyOnly,3.653933525085449,0.6662119626998901,3.653933525085449
