animal_id,cell_id,group
10481,C001,EarlyOnly
10481,C002,EarlyOnly
10481,C003,EarlyOnly
10481,C009,EarlyOnly
10481,C013,EarlyOnly
10481,C016,LateOnly
10481,C017,LateOnly
10481,C019,LateOnly
10481,C020,Overlap
10481,C023,Overlap
10481,C024,EarlyOnly
10481,C025,LateOnly
10481,C026,LateOnly
10481,C027,EarlyOnly
10481,C029,Overlap
10481,C032,LateOnly
10481,C033,LateOnly
10481,C035,Overlap
10481,C036,Overlap
10481,C037,EarlyOnly
10481,C038,EarlyOnly
10482,C008,EarlyOnly
10482,C011,LateOnly
10482,C014,LateOnly
10482,C019,LateOnly
10482,C021,LateOnly
10482,C029,Overlap
10482,C031,EarlyOnly
10482,C037,EarlyOnly
10482,C038,EarlyOnly
10482,C040,EarlyOnly
10482,C041,EarlyOnly
10482,C046,Overlap
10482,C047,Overlap
10482,C048,EarlyOnly
10482,C049,EarlyOnly
10482,C052,LateOnly
10482,C053,EarlyOnly
10482,C057,EarlyOnly
10488,C000,Overlap
10488,C003,EarlyOnly
10488,C006,EarlyOnly
10488,C007,Overlap
10488,C010,EarlyOnly
10488,C011,Overlap
10488,C012,EarlyOnly
10488,C013,Overlap
10488,C016,Overlap
10488,C020,LateOnly
10488,C023,LateOnly
10488,C026,Overlap
10488,C028,Overlap
10488,C030,EarlyOnly
10488,C033,EarlyOnly
10488,C035,LateOnly
10488,C037,Overlap
10488,C039,Overlap
10488,C040,Overlap
10488,C041,Overlap
10488,C043,Overlap
10488,C044,EarlyOnly
10488,C046,Overlap
10488,C047,LateOnly
10488,C048,Overlap
10488,C049,LateOnly
10488,C050,EarlyOnly
10488,C051,EarlyOnly
10488,C052,Overlap
10488,C054,EarlyOnly
10488,C055,EarlyOnly
10488,C056,Overlap
10488,C058,LateOnly
10488,C059,EarlyOnly
10488,C063,LateOnly
10488,C066,EarlyOnly
10488,C068,EarlyOnly
10488,C074,Overlap
10488,C076,Overlap
10488,C077,Overlap
10488,C079,Overlap
10488,C081,EarlyOnly
10488,C082,LateOnly
10488,C085,Overlap
10488,C086,Overlap
10488,C087,LateOnly
10488,C088,EarlyOnly
10488,C089,LateOnly
10488,C090,EarlyOnly
10488,C092,EarlyOnly
10488,C093,LateOnly
10488,C094,LateOnly
10488,C098,Overlap
10488,C099,EarlyOnly
10488,C100,EarlyOnly
10488,C101,LateOnly
10488,C103,EarlyOnly
10488,C104,EarlyOnly
10488,C105,EarlyOnly
10488,C108,LateOnly
10488,C109,EarlyOnly
10488,C110,Overlap
10488,C112,EarlyOnly
10488,C113,Overlap
10488,C115,EarlyOnly
10488,C116,EarlyOnly
10488,C117,EarlyOnly
10488,C119,EarlyOnly
10488,C120,EarlyOnly
10488,C122,Overlap
10488,C123,LateOnly
10488,C125,EarlyOnly
10488,C126,Overlap
10488,C127,Overlap
10488,C130,LateOnly
10488,C131,LateOnly
10488,C132,Overlap
10488,C133,LateOnly
10488,C134,EarlyOnly
10488,C135,EarlyOnly
10488,C137,EarlyOnly
10488,C141,EarlyOnly
10488,C143,EarlyOnly
10488,C144,LateOnly
10488,C145,LateOnly
10488,C146,EarlyOnly
10488,C149,EarlyOnly
10488,C150,Overlap
10488,C151,EarlyOnly
10488,C155,EarlyOnly
10488,C157,Overlap
10488,C160,LateOnly
10488,C161,EarlyOnly
10488,C162,Overlap
10488,C163,EarlyOnly
10488,C164,Overlap
10489,undecided,EarlyOnly
10489,C004,EarlyOnly
10489,C005,EarlyOnly
10489,C006,EarlyOnly
10489,C007,EarlyOnly
10489,C010,EarlyOnly
10489,C011,EarlyOnly
10489,C012,EarlyOnly
10489,C013,EarlyOnly
10489,C016,EarlyOnly
10489,C017,EarlyOnly
10489,C018,EarlyOnly
10489,C020,EarlyOnly
10489,C021,EarlyOnly
10489,C022,EarlyOnly
10489,C024,EarlyOnly
10489,C025,EarlyOnly
10489,C026,EarlyOnly
10489,C029,EarlyOnly
10489,C034,EarlyOnly
